Room Type,Qty,Aug 3,,Aug 4,,Aug 5,,Aug 6,,Aug 7,,Aug 8,,Aug 9,
DBPK - Deluxe Balcony Pool View King,8,2,25%,3,38%,5,63%,3,38%,5,63%,6,75%,4,50%
DBPT - Deluxe Balcony Pool View Twin,2,0,0%,0,0%,1,50%,1,50%,1,50%,1,50%,1,50%
DLBT - Deluxe Balcony Twin,12,10,83%,-1,-8%,2,17%,5,42%,7,58%,9,75%,4,33%
DLXK - Deluxe King,28,8,29%,3,11%,10,36%,3,11%,12,43%,10,36%,5,18%
FRSK - Family Room Suite King,8,4,50%,4,50%,3,38%,8,100%,8,100%,8,100%,7,88%
GLSK - Gallery Suite King,4,3,75%,2,50%,1,25%,3,75%,3,75%,3,75%,3,75%
HILK - Hillside Studio King,16,2,13%,12,75%,15,93%,16,100%,16,100%,16,100%,16,100%
PRBK - Premier Balcony King,11,11,100%,11,100%,10,92%,11,100%,12,100%,12,100%,12,100%
PRBT - Premier Balcony Twin,9,8,100%,7,88%,8,89%,9,100%,9,100%,9,100%,9,100%
PRRK - Premier King,12,12,100%,7,58%,7,58%,11,92%,12,100%,6,50%,6,50%
PRSK - Premier Suite King,4,1,50%,0,0%,0,0%,3,75%,4,100%,3,75%,3,75%
PRRT - Premier Twin,9,9,100%,7,78%,5,56%,9,100%,8,89%,8,89%,8,89%
